year,matchNumber,venue,home,homeCode,homeId,away,awayCode,awayId,link,result
1990,Match 45,Florence,Yugoslavia,YUG,43975,Argentina,ARG,43922,/worldcup/matches/round=751/match=31/index.html#nosticky,0-0
1990,Match 46,Rome,Italy,ITA,43954,Republic of Ireland,IRL,43953,/worldcup/matches/round=751/match=243/index.html#nosticky,1-0
1990,Match 47,Milan,Germany FR,FRG,44023,Czechoslovakia,TCH,44025,/worldcup/matches/round=751/match=197/index.html#nosticky,1-0
1990,Match 48,Naples,England,ENG,43942,Cameroon,CMR,43849,/worldcup/matches/round=751/match=103/index.html#nosticky,3-2
1990,Match 49,Naples,Italy,ITA,43954,Argentina,ARG,43922,/worldcup/matches/round=3464/match=28/index.html#nosticky,1-1
1990,Match 50,Turin,Germany FR,FRG,44023,England,ENG,43942,/worldcup/matches/round=3464/match=159/index.html#nosticky,1-1
1990,Match 51,Bari,Italy,ITA,43954,England,ENG,43942,/worldcup/matches/round=3463/match=162/index.html#nosticky,2-1
1990,Match 52,Rome,Germany FR,FRG,44023,Argentina,ARG,43922,/worldcup/matches/round=3462/match=27/index.html#nosticky,1-0
1986,Match 1,Mexico City,Bulgaria,BUL,43936,Italy,ITA,43954,/worldcup/matches/round=308/match=459/index.html#nosticky,1-1
1986,Match 2,Leon,Canada,CAN,43899,France,FRA,43946,/worldcup/matches/round=308/match=468/index.html#nosticky,0-1
1986,Match 3,Guadalajara,Spain,ESP,43969,Brazil,BRA,43924,/worldcup/matches/round=308/match=439/index.html#nosticky,0-1
1986,Match 5,Irapuato,Soviet Union,URS,44026,Hungary,HUN,43950,/worldcup/matches/round=308/match=610/index.html#nosticky,6-0
1986,Match 4,Mexico City,Argentina,ARG,43922,Korea Republic,KOR,43822,/worldcup/matches/round=308/match=395/index.html#nosticky,3-1
1986,Match 6,Monterrey,Morocco,MAR,43872,Poland,POL,43962,/worldcup/matches/round=308/match=674/index.html#nosticky,0-0
1986,Match 8,Guadalajara,Algeria,ALG,43843,Northern Ireland,NIR,43952,/worldcup/matches/round=308/match=379/index.html#nosticky,1-1
1986,Match 7,Mexico City,Belgium,BEL,43935,Mexico,MEX,43911,/worldcup/matches/round=308/match=428/index.html#nosticky,1-2
1986,Match 9,Monterrey,Portugal,POR,43963,England,ENG,43942,/worldcup/matches/round=308/match=538/index.html#nosticky,1-0
1986,Match 10,Toluca,Paraguay,PAR,43928,Iraq,IRQ,43818,/worldcup/matches/round=308/match=628/index.html#nosticky,1-0
1986,Match 12,Nezahualcoyotl,Scotland,SCO,43967,Denmark,DEN,43941,/worldcup/matches/round=308/match=517/index.html#nosticky,0-1
1986,Match 11,Queretaro,Uruguay,URU,43930,Germany FR,FRG,44023,/worldcup/matches/round=308/match=585/index.html#nosticky,1-1
1986,Match 13,Puebla,Italy,ITA,43954,Argentina,ARG,43922,/worldcup/matches/round=308/match=394/index.html#nosticky,1-1
1986,Match 15,Leon,France,FRA,43946,Soviet Union,URS,44026,/worldcup/matches/round=308/match=571/index.html#nosticky,1-1
1986,Match 14,Mexico City,Korea Republic,KOR,43822,Bulgaria,BUL,43936,/worldcup/matches/round=308/match=460/index.html#nosticky,1-1
1986,Match 16,Irapuato,Hungary,HUN,43950,Canada,CAN,43899,/worldcup/matches/round=308/match=475/index.html#nosticky,2-0
1986,Match 17,Guadalajara,Brazil,BRA,43924,Algeria,ALG,43843,/worldcup/matches/round=308/match=377/index.html#nosticky,1-0
1986,Match 18,Monterrey,England,ENG,43942,Morocco,MAR,43872,/worldcup/matches/round=308/match=533/index.html#nosticky,0-0
1986,Match 20,Guadalajara,Northern Ireland,NIR,43952,Spain,ESP,43969,/worldcup/matches/round=308/match=551/index.html#nosticky,1-2
1986,Match 19,Mexico City,Mexico,MEX,43911,Paraguay,PAR,43928,/worldcup/matches/round=308/match=680/index.html#nosticky,1-1
1986,Match 21,Monterrey,Poland,POL,43962,Portugal,POR,43963,/worldcup/matches/round=308/match=701/index.html#nosticky,1-0
1986,Match 22,Toluca,Iraq,IRQ,43818,Belgium,BEL,43935,/worldcup/matches/round=308/match=427/index.html#nosticky,1-2
1986,Match 24,Nezahualcoyotl,Denmark,DEN,43941,Uruguay,URU,43930,/worldcup/matches/round=308/match=522/index.html#nosticky,6-1
1986,Match 23,Queretaro,Germany FR,FRG,44023,Scotland,SCO,43967,/worldcup/matches/round=308/match=580/index.html#nosticky,2-1
1986,Match 25,Leon,Hungary,HUN,43950,France,FRA,43946,/worldcup/matches/round=308/match=567/index.html#nosticky,0-3
1986,Match 26,Irapuato,Soviet Union,URS,44026,Canada,CAN,43899,/worldcup/matches/round=308/match=476/index.html#nosticky,2-0
1986,Match 27,Puebla,Korea Republic,KOR,43822,Italy,ITA,43954,/worldcup/matches/round=308/match=643/index.html#nosticky,2-3
1986,Match 28,Mexico City,Argentina,ARG,43922,Bulgaria,BUL,43936,/worldcup/matches/round=308/match=389/index.html#nosticky,2-0
1986,Match 30,Toluca,Paraguay,PAR,43928,Belgium,BEL,43935,/worldcup/matches/round=308/match=429/index.html#nosticky,2-2
1986,Match 29,Mexico City,Iraq,IRQ,43818,Mexico,MEX,43911,/worldcup/matches/round=308/match=627/index.html#nosticky,0-1
1986,Match 31,Guadalajara,Portugal,POR,43963,Morocco,MAR,43872,/worldcup/matches/round=308/match=675/index.html#nosticky,1-3
1986,Match 32,Monterrey,England,ENG,43942,Poland,POL,43962,/worldcup/matches/round=308/match=537/index.html#nosticky,3-0
1986,Match 33,Guadalajara,Northern Ireland,NIR,43952,Brazil,BRA,43924,/worldcup/matches/round=308/match=441/index.html#nosticky,0-3
1986,Match 34,Monterrey,Algeria,ALG,43843,Spain,ESP,43969,/worldcup/matches/round=308/match=378/index.html#nosticky,0-3
1986,Match 36,Nezahualcoyotl,Scotland,SCO,43967,Uruguay,URU,43930,/worldcup/matches/round=308/match=712/index.html#nosticky,0-0
1986,Match 35,Queretaro,Denmark,DEN,43941,Germany FR,FRG,44023,/worldcup/matches/round=308/match=512/index.html#nosticky,2-0
1986,Match 38,Leon,Soviet Union,URS,44026,Belgium,BEL,43935,/worldcup/matches/round=309/match=432/index.html#nosticky,3-4
1986,Match 37,Mexico City,Mexico,MEX,43911,Bulgaria,BUL,43936,/worldcup/matches/round=309/match=463/index.html#nosticky,2-0
1986,Match 39,Puebla,Argentina,ARG,43922,Uruguay,URU,43930,/worldcup/matches/round=309/match=398/index.html#nosticky,1-0
1986,Match 40,Guadalajara,Brazil,BRA,43924,Poland,POL,43962,/worldcup/matches/round=309/match=444/index.html#nosticky,4-0
1986,Match 41,Mexico City,Italy,ITA,43954,France,FRA,43946,/worldcup/matches/round=309/match=568/index.html#nosticky,0-2
1986,Match 42,Monterrey,Morocco,MAR,43872,Germany FR,FRG,44023,/worldcup/matches/round=309/match=574/index.html#nosticky,0-1
1986,Match 43,Mexico City,England,ENG,43942,Paraguay,PAR,43928,/worldcup/matches/round=309/match=536/index.html#nosticky,3-0
1986,Match 44,Queretaro,Denmark,DEN,43941,Spain,ESP,43969,/worldcup/matches/round=309/match=511/index.html#nosticky,1-5
1986,Match 45,Guadalajara,Brazil,BRA,43924,France,FRA,43946,/worldcup/matches/round=714/match=440/index.html#nosticky,1-1
1986,Match 46,Monterrey,Germany FR,FRG,44023,Mexico,MEX,43911,/worldcup/matches/round=714/match=575/index.html#nosticky,0-0
1986,Match 47,Puebla,Spain,ESP,43969,Belgium,BEL,43935,/worldcup/matches/round=714/match=421/index.html#nosticky,1-1
1986,Match 48,Mexico City,Argentina,ARG,43922,England,ENG,43942,/worldcup/matches/round=714/match=392/index.html#nosticky,2-1
1986,Match 50,Guadalajara,France,FRA,43946,Germany FR,FRG,44023,/worldcup/matches/round=3469/match=564/index.html#nosticky,0-2
1986,Match 49,Mexico City,Argentina,ARG,43922,Belgium,BEL,43935,/worldcup/matches/round=3469/match=388/index.html#nosticky,2-0
1986,Match 51,Puebla,France,FRA,43946,Belgium,BEL,43935,/worldcup/matches/round=3468/match=422/index.html#nosticky,4-2
1986,Match 52,Mexico City,Argentina,ARG,43922,Germany FR,FRG,44023,/worldcup/matches/round=3467/match=393/index.html#nosticky,3-2
1982,Match 1,Barcelona,Argentina,ARG,43922,Belgium,BEL,43935,/worldcup/matches/round=293/match=749/index.html#nosticky,0-1
1982,Match 2,Vigo,Italy,ITA,43954,Poland,POL,43962,/worldcup/matches/round=293/match=995/index.html#nosticky,0-0
1982,Match 3,Seville,Brazil,BRA,43924,Soviet Union,URS,44026,/worldcup/matches/round=293/match=791/index.html#nosticky,2-1
1982,Match 4,La Coru̱A,Peru,PER,43929,Cameroon,CMR,43849,/worldcup/matches/round=293/match=833/index.html#nosticky,0-0
1982,Match 5,Elche,Hungary,HUN,43950,El Salvador,SLV,43904,/worldcup/matches/round=293/match=896/index.html#nosticky,10-1
1982,Match 6,Malaga,Scotland,SCO,43967,New Zealand,NZL,43978,/worldcup/matches/round=293/match=1051/index.html#nosticky,5-2
1982,Match 7,Gijon,Germany FR,FRG,44023,Algeria,ALG,43843,/worldcup/matches/round=293/match=741/index.html#nosticky,1-2
1982,Match 8,Bilbao,England,ENG,43942,France,FRA,43946,/worldcup/matches/round=293/match=878/index.html#nosticky,3-1
1982,Match 9,Valencia,Spain,ESP,43969,Honduras,HON,43909,/worldcup/matches/round=293/match=901/index.html#nosticky,1-1
1982,Match 10,Oviedo,Chile,CHI,43925,Austria,AUT,43934,/worldcup/matches/round=293/match=764/index.html#nosticky,0-1
1982,Match 11,Valladolid,Czechoslovakia,TCH,44025,Kuwait,KUW,43823,/worldcup/matches/round=293/match=1012/index.html#nosticky,1-1
1982,Match 12,Zaragoza,Yugoslavia,YUG,43975,Northern Ireland,NIR,43952,/worldcup/matches/round=293/match=1044/index.html#nosticky,0-0
1982,Match 13,Vigo,Italy,ITA,43954,Peru,PER,43929,/worldcup/matches/round=293/match=994/index.html#nosticky,1-1
1982,Match 14,Alicante,Argentina,ARG,43922,Hungary,HUN,43950,/worldcup/matches/round=293/match=752/index.html#nosticky,4-1
1982,Match 15,Seville,Brazil,BRA,43924,Scotland,SCO,43967,/worldcup/matches/round=293/match=790/index.html#nosticky,4-1
1982,Match 16,La Coru̱A,Poland,POL,43962,Cameroon,CMR,43849,/worldcup/matches/round=293/match=834/index.html#nosticky,0-0
1982,Match 17,Elche,Belgium,BEL,43935,El Salvador,SLV,43904,/worldcup/matches/round=293/match=774/index.html#nosticky,1-0
1982,Match 18,Malaga,Soviet Union,URS,44026,New Zealand,NZL,43978,/worldcup/matches/round=293/match=1054/index.html#nosticky,3-0
1982,Match 19,Gijon,Germany FR,FRG,44023,Chile,CHI,43925,/worldcup/matches/round=293/match=813/index.html#nosticky,4-1
1982,Match 20,Bilbao,England,ENG,43942,Czechoslovakia,TCH,44025,/worldcup/matches/round=293/match=889/index.html#nosticky,2-0
