id,home_id,home,home_code,away_id,away,away_code,h_score,a_score,date,stadium,round,world_cup,year,host,reasonWin
1179,43954,Italy,ITA,43961,Norway,NOR,2,1,05 Jun 1938 - 17:00 Local time,Stade Vélodrome,First round,1938 FIFA World Cup France,1938,France,Italy win after extra time
300186478,43976,Australia,AUS,43960,Netherlands,NED,2,3,18 Jun 2014 - 13:00 Local time,Estadio Beira-Rio,First stage - Group B,2014 FIFA World Cup Brazil,2014,Brazil,
97410027,43924,Brazil,BRA,43976,Australia,AUS,2,0,18 Jun 2006 - 18:00 Local time,"FIFA World Cup Stadium, Munich",Group matches - Group F,2006 FIFA World Cup Germany,2006,Germany,
300186497,43935,Belgium,BEL,43921,USA,USA,2,1,01 Jul 2014 - 17:00 Local time,Arena Fonte Nova,Round of 16,2014 FIFA World Cup Brazil,2014,Brazil,Belgium win after extra time
8773,43924,Brazil,BRA,43925,Chile,CHI,4,1,27 Jun 1998 - 21:00 Local time,Parc des Princes,Round of 16,1998 FIFA World Cup France,1998,France,
834,43962,Poland,POL,43849,Cameroon,CMR,0,0,19 Jun 1982 - 19:15 Local time,Riazor,Group matches - Group 1,1982 FIFA World Cup Spain,1982,Spain,
567,43950,Hungary,HUN,43946,France,FRA,0,3,09 Jun 1986 - 12:00 Local time,Nou Camp - Estadio León,Group matches - Group C,1986 FIFA World Cup Mexico,1986,Mexico,
3095,43964,Romania,ROU,43970,Sweden,SWE,2,2,10 Jul 1994 - 12:30 Local time,Stanford Stadium,Quarter-finals,1994 FIFA World Cup USA,1994,USA,win on penalties (4 - 5)
1102,43970,Sweden,SWE,43922,Argentina,ARG,3,2,27 May 1934 - 16:30 Local time,Littorale,Preliminary round,1934 FIFA World Cup Italy,1934,Italy,
422,43946,France,FRA,43935,Belgium,BEL,4,2,28 Jun 1986 - 12:00 Local time,Cuauhtemoc,Match for third place,1986 FIFA World Cup Mexico,1986,Mexico,France win after extra time
300061458,43922,Argentina,ARG,43822,Korea Republic,KOR,4,1,17 Jun 2010 - 13:30 Local time,Soccer City Stadium,First stage - Group B,2010 FIFA World Cup South Africa,2010,South Africa,
2391,43960,Netherlands,NED,43954,Italy,ITA,2,1,21 Jun 1978 - 13:45 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
300331497,43876,Nigeria,NGA,43951,Iceland,ISL,2,0,22 Jun 2018 - 18:00      Local time,Volgograd Arena,"First stage - Group D,",2018 FIFA World Cup Russia,2018,Russia,
300340184,43969,Spain,ESP,43872,Morocco,MAR,2,2,25 Jun 2018 - 20:00      Local time,Kaliningrad Stadium,"First stage - Group B,",2018 FIFA World Cup Russia,2018,Russia,
1769,43924,Brazil,BRA,43964,Romania,ROU,3,2,10 Jun 1970 - 16:00 Local time,Jalisco,Group matches - Group 3,1970 FIFA World Cup Mexico,1970,Mexico,
1339,43924,Brazil,BRA,43942,England,ENG,0,0,11 Jun 1958 - 19:00 Local time,Nya Ullevi,Group matches - Group 4,1958 FIFA World Cup Sweden,1958,Sweden,
2450,43962,Poland,POL,43929,Peru,PER,1,0,18 Jun 1978 - 13:45 Local time,San Martin,Second round - Group B,1978 FIFA World Cup Argentina,1978,Argentina,
160,43942,England,ENG,43960,Netherlands,NED,0,0,16 Jun 1990 - 21:00 Local time,Sant Elia,Group matches - Group F,1990 FIFA World Cup Italy,1990,Italy,
43950025,43954,Italy,ITA,43938,Croatia,CRO,1,2,08 Jun 2002 - 18:00 Local time,Kashima Stadium,Group matches - Group G,2002 FIFA World Cup Korea,2002,Korea,
475,43950,Hungary,HUN,43899,Canada,CAN,2,0,06 Jun 1986 - 12:00 Local time,Estadio Irapuato,Group matches - Group C,1986 FIFA World Cup Mexico,1986,Mexico,
1285,44023,Germany FR,FRG,43975,Yugoslavia,YUG,2,0,27 Jun 1954 - 17:00 Local time,Charmilles,Quarter-finals,1954 FIFA World Cup Switzerland,1954,Switzerland,
8732,43822,Korea Republic,KOR,43911,Mexico,MEX,1,3,13 Jun 1998 - 17:30 Local time,Stade de Gerland,Group matches - Group E,1998 FIFA World Cup France,1998,France,
1840,44023,Germany FR,FRG,43929,Peru,PER,3,1,10 Jun 1970 - 16:00 Local time,Nou Camp - Estadio León,Group matches - Group 4,1970 FIFA World Cup Mexico,1970,Mexico,
1143,44025,Czechoslovakia,TCH,43971,Switzerland,SUI,3,2,31 May 1934 - 16:30 Local time,Stadio Benito Mussolini,Quarter-finals,1934 FIFA World Cup Italy,1934,Italy,
463,43911,Mexico,MEX,43936,Bulgaria,BUL,2,0,15 Jun 1986 - 12:00 Local time,Estadio Azteca,Round of 16,1986 FIFA World Cup Mexico,1986,Mexico,
43950033,43941,Denmark,DEN,43946,France,FRA,2,0,11 Jun 2002 - 15:30 Local time,Incheon Football Stadium,Group matches - Group A,2002 FIFA World Cup Korea,2002,Korea,
97410031,43969,Spain,ESP,43888,Tunisia,TUN,3,1,19 Jun 2006 - 21:00 Local time,Gottlieb-Daimler-Stadion,Group matches - Group H,2006 FIFA World Cup Germany,2006,Germany,
1682,44026,Soviet Union,URS,43954,Italy,ITA,1,0,16 Jul 1966 - 15:00 Local time,Roker Park Ground,Group matches - Group 4,1966 FIFA World Cup England,1966,England,
300186481,43935,Belgium,BEL,43965,Russia,RUS,1,0,22 Jun 2014 - 13:00 Local time,Estadio do Maracana,First stage - Group H,2014 FIFA World Cup Brazil,2014,Brazil,
1544,43911,Mexico,MEX,44025,Czechoslovakia,TCH,3,1,07 Jun 1962 - 15:00 Local time,Estadio Sausalito,Group matches - Group 3,1962 FIFA World Cup Chile,1962,Chile,
3083,43949,Greece,GRE,43876,Nigeria,NGA,0,2,30 Jun 1994 - 19:30 Local time,Foxboro Stadium,Group matches - Group D,1994 FIFA World Cup USA,1994,USA,
571,43946,France,FRA,44026,Soviet Union,URS,1,1,05 Jun 1986 - 12:00 Local time,Nou Camp - Estadio León,Group matches - Group C,1986 FIFA World Cup Mexico,1986,Mexico,
8765,43935,Belgium,BEL,43822,Korea Republic,KOR,1,1,25 Jun 1998 - 16:00 Local time,Parc des Princes,Group matches - Group E,1998 FIFA World Cup France,1998,France,
1952,43962,Poland,POL,43922,Argentina,ARG,3,2,15 Jun 1974 - 18:00 Local time,Neckarstadion,Group matches - Group 4,1974 FIFA World Cup Germany,1974,Germany FR,
43950064,43948,Germany,GER,43924,Brazil,BRA,0,2,30 Jun 2002 - 20:00 Local time,International Stadium Yokohama,Final,2002 FIFA World Cup Korea,2002,Korea,
1051,43967,Scotland,SCO,43978,New Zealand,NZL,5,2,15 Jun 1982 - 21:00 Local time,La Rosaleda,Group matches - Group 6,1982 FIFA World Cup Spain,1982,Spain,
43950013,43819,Japan,JPN,43935,Belgium,BEL,2,2,04 Jun 2002 - 18:00 Local time,Saitama Stadium 2002,Group matches - Group H,2002 FIFA World Cup Korea,2002,Korea,
1925,43930,Uruguay,URU,44026,Soviet Union,URS,1,0,14 Jun 1970 - 12:00 Local time,Estadio Azteca,Quarter-finals,1970 FIFA World Cup Mexico,1970,Mexico,Uruguay win after extra time
290,43822,Korea Republic,KOR,43930,Uruguay,URU,0,1,21 Jun 1990 - 17:00 Local time,Friuli,Group matches - Group E,1990 FIFA World Cup Italy,1990,Italy,
97410046,43971,Switzerland,SUI,43822,Korea Republic,KOR,2,0,23 Jun 2006 - 21:00 Local time,"FIFA World Cup Stadium, Hanover",Group matches - Group G,2006 FIFA World Cup Germany,2006,Germany,
43950044,43927,Ecuador,ECU,43938,Croatia,CRO,1,0,13 Jun 2002 - 20:30 Local time,International Stadium Yokohama,Group matches - Group G,2002 FIFA World Cup Korea,2002,Korea,
1071,44026,Soviet Union,URS,43967,Scotland,SCO,2,2,22 Jun 1982 - 21:00 Local time,La Rosaleda,Group matches - Group 6,1982 FIFA World Cup Spain,1982,Spain,
1421,43952,Northern Ireland,NIR,44025,Czechoslovakia,TCH,1,0,08 Jun 1958 - 19:00 Local time,Orjans Vall,Group matches - Group 1,1958 FIFA World Cup Sweden,1958,Sweden,
1134,43954,Italy,ITA,44025,Czechoslovakia,TCH,2,1,10 Jun 1934 - 17:30 Local time,Nazionale PNF,Final,1934 FIFA World Cup Italy,1934,Italy,Italy win after extra time
1564,43975,Yugoslavia,YUG,43930,Uruguay,URU,3,1,02 Jun 1962 - 15:00 Local time,Carlos Dittborn,Group matches - Group 1,1962 FIFA World Cup Chile,1962,Chile,
300061481,44002,Slovakia,SVK,43928,Paraguay,PAR,0,2,20 Jun 2010 - 13:30 Local time,Free State Stadium,First stage - Group F,2010 FIFA World Cup South Africa,2010,South Africa,
551,43952,Northern Ireland,NIR,43969,Spain,ESP,1,2,07 Jun 1986 - 12:00 Local time,Tres de Marzo,Group matches - Group D,1986 FIFA World Cup Mexico,1986,Mexico,
8745,43946,France,FRA,43835,Saudi Arabia,KSA,4,0,18 Jun 1998 - 21:00 Local time,Stade de France,Group matches - Group C,1998 FIFA World Cup France,1998,France,
2348,44023,Germany FR,FRG,43960,Netherlands,NED,2,2,18 Jun 1978 - 16:45 Local time,Estadio Olímpico Chateau Carreras,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
228,43953,Republic of Ireland,IRL,43960,Netherlands,NED,1,1,21 Jun 1990 - 21:00 Local time,Della Favorita,Group matches - Group F,1990 FIFA World Cup Italy,1990,Italy,
2431,43962,Poland,POL,43911,Mexico,MEX,3,1,10 Jun 1978 - 16:45 Local time,Arroyito - Estadio Dr. Lisandro de la Torre,Group matches - Group 2,1978 FIFA World Cup Argentina,1978,Argentina,
97410011,43924,Brazil,BRA,43938,Croatia,CRO,1,0,13 Jun 2006 - 21:00 Local time,Olympiastadion,Group matches - Group F,2006 FIFA World Cup Germany,2006,Germany,
1437,43970,Sweden,SWE,44026,Soviet Union,URS,2,0,19 Jun 1958 - 19:00 Local time,Rasunda Stadium,Quarter-finals,1958 FIFA World Cup Sweden,1958,Sweden,
300061478,43960,Netherlands,NED,43941,Denmark,DEN,2,0,14 Jun 2010 - 13:30 Local time,Soccer City Stadium,First stage - Group E,2010 FIFA World Cup South Africa,2010,South Africa,
43950052,43969,Spain,ESP,43953,Republic of Ireland,IRL,1,1,16 Jun 2002 - 20:30 Local time,Suwon World Cup Stadium,Round of 16,2002 FIFA World Cup Korea,2002,Korea,win on penalties (3 - 2)
8753,43948,Germany,GER,43975,Yugoslavia,YUG,2,2,21 Jun 1998 - 14:30 Local time,Stade Felix Bollaert,Group matches - Group F,1998 FIFA World Cup France,1998,France,
1088,43922,Argentina,ARG,43921,USA,USA,6,1,26 Jul 1930 - 14:45 Local time,Estadio Centenario,Semi-finals,1930 FIFA World Cup Uruguay,1930,Uruguay,
300061497,43928,Paraguay,PAR,43819,Japan,JPN,0,0,29 Jun 2010 - 16:00 Local time,Loftus Versfeld Stadium,Round of 16,2010 FIFA World Cup South Africa,2010,South Africa,Paraguay win on penalties (5 - 3)
1122,43954,Italy,ITA,43969,Spain,ESP,1,1,31 May 1934 - 16:30 Local time,Giovanni Berta,Quarter-finals,1934 FIFA World Cup Italy,1934,Italy,
394,43954,Italy,ITA,43922,Argentina,ARG,1,1,05 Jun 1986 - 12:00 Local time,Cuauhtemoc,Group matches - Group A,1986 FIFA World Cup Mexico,1986,Mexico,
300186458,43876,Nigeria,NGA,43922,Argentina,ARG,2,3,25 Jun 2014 - 13:00 Local time,Estadio Beira-Rio,First stage - Group F,2014 FIFA World Cup Brazil,2014,Brazil,
2098,43930,Uruguay,URU,43960,Netherlands,NED,0,2,15 Jun 1974 - 16:00 Local time,Niedersachsenstadion,Group matches - Group 3,1974 FIFA World Cup Germany,1974,Germany FR,
97410007,43911,Mexico,MEX,43817,Iran,IRN,3,1,11 Jun 2006 - 18:00 Local time,Franken-Stadion,Group matches - Group D,2006 FIFA World Cup Germany,2006,Germany,
43950005,43942,England,ENG,43970,Sweden,SWE,1,1,02 Jun 2002 - 18:30 Local time,Saitama Stadium 2002,Group matches - Group F,2002 FIFA World Cup Korea,2002,Korea,
1460,43924,Brazil,BRA,43969,Spain,ESP,2,1,06 Jun 1962 - 15:00 Local time,Estadio Sausalito,Group matches - Group 3,1962 FIFA World Cup Chile,1962,Chile,
1175,43950,Hungary,HUN,43971,Switzerland,SUI,2,0,12 Jun 1938 - 17:00 Local time,Victor Boucquey,Quarter-finals,1938 FIFA World Cup France,1938,France,
1525,44025,Czechoslovakia,TCH,43950,Hungary,HUN,1,0,10 Jun 1962 - 14:30 Local time,El Teniente - Estadio Braden Copper Co.,Quarter-finals,1962 FIFA World Cup Chile,1962,Chile,
97410050,43922,Argentina,ARG,43911,Mexico,MEX,2,1,24 Jun 2006 - 21:00 Local time,Zentralstadion,Round of 16,2006 FIFA World Cup Germany,2006,Germany,Argentina win after extra time
3099,43970,Sweden,SWE,43924,Brazil,BRA,0,1,13 Jul 1994 - 16:30 Local time,Rose Bowl,Semi-finals,1994 FIFA World Cup USA,1994,USA,
1948,43960,Netherlands,NED,43922,Argentina,ARG,4,0,26 Jun 1974 - 19:30 Local time,Parkstadion,Second round - Group A,1974 FIFA World Cup Germany,1974,Germany FR,
3076,43948,Germany,GER,43822,Korea Republic,KOR,3,2,27 Jun 1994 - 16:00 Local time,Cotton Bowl,Group matches - Group C,1994 FIFA World Cup USA,1994,USA,
300061454,43883,South Africa,RSA,43911,Mexico,MEX,1,1,11 Jun 2010 - 16:00 Local time,Soccer City Stadium,First stage - Group A,2010 FIFA World Cup South Africa,2010,South Africa,
300186474,43924,Brazil,BRA,43948,Germany,GER,1,7,08 Jul 2014 - 17:00 Local time,Estadio Mineirao,Semi-finals,2014 FIFA World Cup Brazil,2014,Brazil,
8728,43928,Paraguay,PAR,43936,Bulgaria,BUL,0,0,12 Jun 1998 - 14:30 Local time,La Mosson,Group matches - Group D,1998 FIFA World Cup France,1998,France,
43950029,43819,Japan,JPN,43965,Russia,RUS,1,0,09 Jun 2002 - 20:30 Local time,International Stadium Yokohama,Group matches - Group H,2002 FIFA World Cup Korea,2002,Korea,
1765,43924,Brazil,BRA,43954,Italy,ITA,4,1,21 Jun 1970 - 12:00 Local time,Estadio Azteca,Final,1970 FIFA World Cup Mexico,1970,Mexico,
750,43922,Argentina,ARG,43924,Brazil,BRA,1,3,02 Jul 1982 - 17:15 Local time,Sarria,Second round - Group 3,1982 FIFA World Cup Spain,1982,Spain,
879,44023,Germany FR,FRG,43942,England,ENG,0,0,29 Jun 1982 - 21:00 Local time,Santiago Bernabeu,Second round - Group 2,1982 FIFA World Cup Spain,1982,Spain,
896,43950,Hungary,HUN,43904,El Salvador,SLV,10,1,15 Jun 1982 - 21:00 Local time,Nuevo Estadio,Group matches - Group 3,1982 FIFA World Cup Spain,1982,Spain,
300331527,43946,France,FRA,43929,Peru,PER,1,0,21 Jun 2018 - 20:00      Local time,Ekaterinburg Arena,"First stage - Group C,",2018 FIFA World Cup Russia,2018,Russia,
1323,43922,Argentina,ARG,44023,Germany FR,FRG,1,3,08 Jun 1958 - 19:00 Local time,Malmo Stadion,Group matches - Group 1,1958 FIFA World Cup Sweden,1958,Sweden,
1636,43942,England,ENG,43930,Uruguay,URU,0,0,11 Jul 1966 - 19:30 Local time,Wembley Stadium,Group matches - Group 1,1966 FIFA World Cup England,1966,England,
75,43924,Brazil,BRA,43970,Sweden,SWE,2,1,10 Jun 1990 - 21:00 Local time,Stadio delle Alpi,Group matches - Group C,1990 FIFA World Cup Italy,1990,Italy,
8769,43964,Romania,ROU,43888,Tunisia,TUN,1,1,26 Jun 1998 - 21:00 Local time,Stade de France,Group matches - Group G,1998 FIFA World Cup France,1998,France,
300061507,43960,Netherlands,NED,43924,Brazil,BRA,2,1,02 Jul 2010 - 16:00 Local time,Port Elizabeth Stadium,Quarter-finals,2010 FIFA World Cup South Africa,2010,South Africa,
3060,43948,Germany,GER,43969,Spain,ESP,1,1,21 Jun 1994 - 16:00 Local time,Soldier Field,Group matches - Group C,1994 FIFA World Cup USA,1994,USA,
2221,43954,Italy,ITA,43934,Austria,AUT,1,0,18 Jun 1978 - 16:45 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
8786,43946,France,FRA,43938,Croatia,CRO,2,1,08 Jul 1998 - 21:00 Local time,Stade de France,Semi-finals,1998 FIFA World Cup France,1998,France,
300186462,43946,France,FRA,43876,Nigeria,NGA,2,0,30 Jun 2014 - 13:00 Local time,Estadio Nacional,Round of 16,2014 FIFA World Cup Brazil,2014,Brazil,
1231,43930,Uruguay,URU,43970,Sweden,SWE,3,2,13 Jul 1950 - 15:00 Local time,Pacaembu,Final round - Group 6,1950 FIFA World Cup Brazil,1950,Brazil,
8762,43946,France,FRA,43941,Denmark,DEN,2,1,24 Jun 1998 - 16:00 Local time,Stade de Gerland,Group matches - Group C,1998 FIFA World Cup France,1998,France,
3084,43922,Argentina,ARG,43936,Bulgaria,BUL,0,2,30 Jun 1994 - 19:30 Local time,Cotton Bowl,Group matches - Group D,1994 FIFA World Cup USA,1994,USA,
300061449,43946,France,FRA,43883,South Africa,RSA,1,2,22 Jun 2010 - 16:00 Local time,Free State Stadium,First stage - Group A,2010 FIFA World Cup South Africa,2010,South Africa,
1406,43970,Sweden,SWE,43950,Hungary,HUN,2,1,12 Jun 1958 - 19:00 Local time,Rasunda Stadium,Group matches - Group 3,1958 FIFA World Cup Sweden,1958,Sweden,
1955,44024,German DR,GDR,43976,Australia,AUS,2,0,14 Jun 1974 - 19:30 Local time,Volksparkstadion,Group matches - Group 1,1974 FIFA World Cup Germany,1974,Germany FR,
43950063,43822,Korea Republic,KOR,43972,Turkey,TUR,2,3,29 Jun 2002 - 20:00 Local time,Daegu World Cup Stadium,Third place,2002 FIFA World Cup Korea,2002,Korea,
300186469,43921,USA,USA,43948,Germany,GER,0,1,26 Jun 2014 - 13:00 Local time,Arena Pernambuco,First stage - Group G,2014 FIFA World Cup Brazil,2014,Brazil,
97410036,43928,Paraguay,PAR,43920,Trinidad and Tobago,TRI,2,0,20 Jun 2006 - 21:00 Local time,Fritz-Walter-Stadion,Group matches - Group B,2006 FIFA World Cup Germany,2006,Germany,
300186486,43930,Uruguay,URU,43942,England,ENG,2,1,19 Jun 2014 - 16:00 Local time,Arena de Sao Paulo,First stage - Group D,2014 FIFA World Cup Brazil,2014,Brazil,
1390,43970,Sweden,SWE,44023,Germany FR,FRG,3,1,24 Jun 1958 - 19:00 Local time,Nya Ullevi,Semi-finals,1958 FIFA World Cup Sweden,1958,Sweden,
29,43922,Argentina,ARG,43964,Romania,ROU,1,1,18 Jun 1990 - 21:00 Local time,San Paolo,Group matches - Group B,1990 FIFA World Cup Italy,1990,Italy,
8735,43975,Yugoslavia,YUG,43817,Iran,IRN,1,0,14 Jun 1998 - 17:30 Local time,Stade Geoffroy Guichard,Group matches - Group F,1998 FIFA World Cup France,1998,France,
43950034,43879,Senegal,SEN,43930,Uruguay,URU,3,3,11 Jun 2002 - 15:30 Local time,Suwon World Cup Stadium,Group matches - Group A,2002 FIFA World Cup Korea,2002,Korea,
1902,43911,Mexico,MEX,44026,Soviet Union,URS,0,0,31 May 1970 - 12:00 Local time,Estadio Azteca,Group matches - Group 1,1970 FIFA World Cup Mexico,1970,Mexico,
1451,43950,Hungary,HUN,43922,Argentina,ARG,0,0,06 Jun 1962 - 15:00 Local time,El Teniente - Estadio Braden Copper Co.,Group matches - Group 4,1962 FIFA World Cup Chile,1962,Chile,
97410061,43948,Germany,GER,43954,Italy,ITA,0,2,04 Jul 2006 - 21:00 Local time,"FIFA World Cup Stadium, Dortmund",Semi-finals,2006 FIFA World Cup Germany,2006,Germany,Italy win after extra time
1152,43924,Brazil,BRA,44025,Czechoslovakia,TCH,1,1,12 Jun 1938 - 17:00 Local time,Stade du Parc Lescure,Quarter-finals,1938 FIFA World Cup France,1938,France,
537,43942,England,ENG,43962,Poland,POL,3,0,11 Jun 1986 - 16:00 Local time,Tecnologico,Group matches - Group F,1986 FIFA World Cup Mexico,1986,Mexico,
1447,43922,Argentina,ARG,43936,Bulgaria,BUL,1,0,30 May 1962 - 15:00 Local time,El Teniente - Estadio Braden Copper Co.,Group matches - Group 4,1962 FIFA World Cup Chile,1962,Chile,
921,43962,Poland,POL,43946,France,FRA,3,2,10 Jul 1982 - 20:00 Local time,Jose Rico Perez,Match for third place,1982 FIFA World Cup Spain,1982,Spain,
43950022,43969,Spain,ESP,43928,Paraguay,PAR,3,1,07 Jun 2002 - 18:00 Local time,Jeonju World Cup Stadium,Group matches - Group B,2002 FIFA World Cup Korea,2002,Korea,
1294,43950,Hungary,HUN,43822,Korea Republic,KOR,9,0,17 Jun 1954 - 18:00 Local time,Hardturm,Group matches - Group 2,1954 FIFA World Cup Switzerland,1954,Switzerland,
300340183,1902465,Serbia,SRB,43971,Switzerland,SUI,1,2,22 Jun 2018 - 20:00      Local time,Kaliningrad Stadium,"First stage - Group E,",2018 FIFA World Cup Russia,2018,Russia,
3092,43911,Mexico,MEX,43936,Bulgaria,BUL,1,1,05 Jul 1994 - 16:30 Local time,Giants Stadium,Round of 16,1994 FIFA World Cup USA,1994,USA,win on penalties (1 - 3)
1105,43948,Germany,GER,43934,Austria,AUT,3,2,07 Jun 1934 - 18:00 Local time,Giorgio Ascarelli,Match for third place,1934 FIFA World Cup Italy,1934,Italy,
8774,43954,Italy,ITA,43961,Norway,NOR,1,0,27 Jun 1998 - 16:30 Local time,Stade Vélodrome,Round of 16,1998 FIFA World Cup France,1998,France,
833,43929,Peru,PER,43849,Cameroon,CMR,0,0,15 Jun 1982 - 17:15 Local time,Riazor,Group matches - Group 1,1982 FIFA World Cup Spain,1982,Spain,
2396,43954,Italy,ITA,43950,Hungary,HUN,3,1,06 Jun 1978 - 13:45 Local time,Estadio José María Minella,Group matches - Group 1,1978 FIFA World Cup Argentina,1978,Argentina,
97410020,43970,Sweden,SWE,43928,Paraguay,PAR,1,0,15 Jun 2006 - 21:00 Local time,Olympiastadion,Group matches - Group B,2006 FIFA World Cup Germany,2006,Germany,
1386,43946,France,FRA,43928,Paraguay,PAR,7,3,08 Jun 1958 - 19:00 Local time,Idrottsparken,Group matches - Group 2,1958 FIFA World Cup Sweden,1958,Sweden,
300186490,43960,Netherlands,NED,43922,Argentina,ARG,0,0,09 Jul 2014 - 17:00 Local time,Arena de Sao Paulo,Semi-finals,2014 FIFA World Cup Brazil,2014,Brazil,Argentina win on penalties (2 - 4)
2247,43924,Brazil,BRA,43954,Italy,ITA,2,1,24 Jun 1978 - 15:00 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Match for third place,1978 FIFA World Cup Argentina,1978,Argentina,
1191,43924,Brazil,BRA,43975,Yugoslavia,YUG,2,0,01 Jul 1950 - 15:00 Local time,'Maracanã - Estádio Jornalista Mário Filho,Group matches - Group 1,1950 FIFA World Cup Brazil,1950,Brazil,
2181,43970,Sweden,SWE,43930,Uruguay,URU,3,0,23 Jun 1974 - 16:00 Local time,Rheinstadion,Group matches - Group 3,1974 FIFA World Cup Germany,1974,Germany FR,
300331516,43930,Uruguay,URU,43965,Russia,RUS,3,0,25 Jun 2018 - 18:00      Local time,Samara Arena,"First stage - Group A,",2018 FIFA World Cup Russia,2018,Russia,
3051,43921,USA,USA,43971,Switzerland,SUI,1,1,18 Jun 1994 - 11:30 Local time,Pontiac Silverdome,Group matches - Group A,1994 FIFA World Cup USA,1994,USA,
300061473,43849,Cameroon,CMR,43960,Netherlands,NED,1,2,24 Jun 2010 - 20:30 Local time,Cape Town Stadium,First stage - Group E,2010 FIFA World Cup South Africa,2010,South Africa,
1596,43924,Brazil,BRA,43936,Bulgaria,BUL,2,0,12 Jul 1966 - 19:30 Local time,Goodison Park,Group matches - Group 3,1966 FIFA World Cup England,1966,England,
43950059,43969,Spain,ESP,43822,Korea Republic,KOR,0,0,22 Jun 2002 - 15:30 Local time,Gwangju World Cup Stadium,Quarter-finals,2002 FIFA World Cup Korea,2002,Korea,win on penalties (3 - 5)
8758,43967,Scotland,SCO,43872,Morocco,MAR,0,3,23 Jun 1998 - 21:00 Local time,Stade Geoffroy Guichard,Group matches - Group A,1998 FIFA World Cup France,1998,France,
1129,43948,Germany,GER,43970,Sweden,SWE,2,1,31 May 1934 - 16:30 Local time,San Siro,Quarter-finals,1934 FIFA World Cup Italy,1934,Italy,
1579,44023,Germany FR,FRG,43922,Argentina,ARG,0,0,16 Jul 1966 - 15:00 Local time,Villa Park,Group matches - Group 2,1966 FIFA World Cup England,1966,England,
1650,43946,France,FRA,43911,Mexico,MEX,1,1,13 Jul 1966 - 19:30 Local time,Wembley Stadium,Group matches - Group 1,1966 FIFA World Cup England,1966,England,
1345,43924,Brazil,BRA,43974,Wales,WAL,1,0,19 Jun 1958 - 19:00 Local time,Nya Ullevi,Quarter-finals,1958 FIFA World Cup Sweden,1958,Sweden,
300186453,43849,Cameroon,CMR,43938,Croatia,CRO,0,4,18 Jun 2014 - 18:00 Local time,Arena Amazonia,First stage - Group A,2014 FIFA World Cup Brazil,2014,Brazil,
300061465,43843,Algeria,ALG,43968,Slovenia,SVN,0,1,13 Jun 2010 - 13:30 Local time,Peter Mokaba Stadium,First stage - Group C,2010 FIFA World Cup South Africa,2010,South Africa,
1095,43925,Chile,CHI,43911,Mexico,MEX,3,0,16 Jul 1930 - 14:45 Local time,Parque Central,Group matches - Group 1,1930 FIFA World Cup Uruguay,1930,Uruguay,
1996,43936,Bulgaria,BUL,43930,Uruguay,URU,1,1,19 Jun 1974 - 19:30 Local time,Niedersachsenstadion,Group matches - Group 3,1974 FIFA World Cup Germany,1974,Germany FR,
300186500,43954,Italy,ITA,43901,Costa Rica,CRC,0,1,20 Jun 2014 - 13:00 Local time,Arena Pernambuco,First stage - Group D,2014 FIFA World Cup Brazil,2014,Brazil,
389,43922,Argentina,ARG,43936,Bulgaria,BUL,2,0,10 Jun 1986 - 12:00 Local time,Estadio Olímpico Universitario,Group matches - Group A,1986 FIFA World Cup Mexico,1986,Mexico,
2085,43908,Haiti,HAI,43962,Poland,POL,0,7,19 Jun 1974 - 19:30 Local time,Olympiastadion,Group matches - Group 4,1974 FIFA World Cup Germany,1974,Germany FR,
1187,43924,Brazil,BRA,43911,Mexico,MEX,4,0,24 Jun 1950 - 15:00 Local time,'Maracanã - Estádio Jornalista Mário Filho,Group matches - Group 1,1950 FIFA World Cup Brazil,1950,Brazil,
2251,43924,Brazil,BRA,43929,Peru,PER,3,0,14 Jun 1978 - 16:45 Local time,San Martin,Second round - Group B,1978 FIFA World Cup Argentina,1978,Argentina,
43950018,43946,France,FRA,43930,Uruguay,URU,0,0,06 Jun 2002 - 20:30 Local time,Busan Asiad Main Stadium,Group matches - Group A,2002 FIFA World Cup Korea,2002,Korea,
1884,43930,Uruguay,URU,43954,Italy,ITA,0,0,06 Jun 1970 - 16:00 Local time,Cuauhtemoc,Group matches - Group 2,1970 FIFA World Cup Mexico,1970,Mexico,
2197,43922,Argentina,ARG,43946,France,FRA,2,1,06 Jun 1978 - 19:15 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Group matches - Group 1,1978 FIFA World Cup Argentina,1978,Argentina,
1304,43972,Turkey,TUR,43822,Korea Republic,KOR,7,0,20 Jun 1954 - 17:00 Local time,Charmilles,Group matches - Group 2,1954 FIFA World Cup Switzerland,1954,Switzerland,
300331500,43817,IR Iran,IRN,43963,Portugal,POR,1,1,25 Jun 2018 - 21:00      Local time,Mordovia Arena,"First stage - Group B,",2018 FIFA World Cup Russia,2018,Russia,
1689,43930,Uruguay,URU,43911,Mexico,MEX,0,0,19 Jul 1966 - 16:30 Local time,Wembley Stadium,Group matches - Group 1,1966 FIFA World Cup England,1966,England,
