player_id,player_name,year,team
"53134","Gosta Lofgren","1958","Sweden"
"51783","Henry Kallgren","1958","Sweden"
"54060","Bror Mellberg","1958","Sweden"
"46525","Bengt Berndtsson","1958","Sweden"
"69961","Ove Ohlsson","1958","Sweden"
"52026","Jack Kelsey","1958","Wales"
"59965","Stuart Williams","1958","Wales"
"50992","Mel Hopkins","1958","Wales"
"58559","Derek Sullivan","1958","Wales"
"47553","Mel Charles","1958","Wales"
"46872","David Bowen","1958","Wales"
"54016","Terry Medwin","1958","Wales"
"50861","Ron Hewitt","1958","Wales"
"43991","John Charles","1958","Wales"
"174336","Ivor Allchurch","1958","Wales"
"51620","Cliff Jones","1958","Wales"
"182126","Ken Jones","1958","Wales"
"69968","Gerald Vearncombe","1958","Wales"
"48870","Trevor Edwards","1958","Wales"
"46101","Colin Baker","1958","Wales"
"69969","Vic Crowe","1958","Wales"
"52890","Ken Leek","1958","Wales"
"59573","Roy Vernon","1958","Wales"
"59855","Colin Webster","1958","Wales"
"69970","John Elsworthy","1958","Wales"
"45424","Len Allchurch","1958","Wales"
"69971","Tom Baker","1958","Wales"
"46339","Vladimir Beara","1958","Yugoslavia"
"52529","Srboljub Krivokuca","1958","Yugoslavia"
"58013","Vasilije Sijakovic","1958","Yugoslavia"
"48062","Tomislav Crnkovic","1958","Yugoslavia"
"59031","Novak Tomic","1958","Yugoslavia"
"44777","Branko Zebec","1958","Yugoslavia"
"174770","Milos Milutinovic","1958","Yugoslavia"
"52538","Dobrosav Krstic","1958","Yugoslavia"
"174422","Vujadin Boskov","1958","Yugoslavia"
"69950","Ivan Santek","1958","Yugoslavia"
"171311","Vlada Popovic","1958","Yugoslavia"
"56175","Aleksandar Petakovic","1958","Yugoslavia"
"59577","Toza Veselinovic","1958","Yugoslavia"
"69951","Milorad Milutinovic","1958","Yugoslavia"
"44623","Dragoslav Sekularac","1958","Yugoslavia"
"55979","Ilijas Pasic","1958","Yugoslavia"
"56618","Zdravko Rajkov","1958","Yugoslavia"
"69952","Luka Liposinovic","1958","Yugoslavia"
"55467","Radivoje Ognjanovic","1958","Yugoslavia"
"69953","Gordan Irovic","1958","Yugoslavia"
"69954","Nikola Radovic","1958","Yugoslavia"
"51536","Drazen Jerkovic","1958","Yugoslavia"
"57085","Antonio Roma","1962","Argentina"
"48389","Jose Manuel Ramos Delgado","1962","Argentina"
"174737","Silvio Marzolini","1962","Argentina"
"57348","Alberto Sainz","1962","Argentina"
"57280","Federico Sacchi","1962","Argentina"
"55806","Raul Paez","1962","Argentina"
"49203","Hector Facundo","1962","Argentina"
"55864","Martin Pando","1962","Argentina"
"55807","Marcelo Pagani","1962","Argentina"
"57526","Jose Sanfilippo","1962","Argentina"
"46372","Raul Belen","1962","Argentina"
"48668","Rogelio Dominguez","1962","Argentina"
"69916","Oscar Rossi","1962","Argentina"
"69917","Alberto Mariotti","1962","Argentina"
"54981","Ruben Navarro","1962","Argentina"
"56725","Antonio Rattin","1962","Argentina"
"45358","Rafael Albrecht","1962","Argentina"
"61588","Vladislao Cap","1962","Argentina"
"58277","Ruben Sosa","1962","Argentina"
"55521","Juan Oleniak","1962","Argentina"
"69918","Ramon Abeledo","1962","Argentina"
"50122","Alberto Gonzalez","1962","Argentina"
"63860","Gilmar","1962","Brazil"
"44603","Djalma Santos","1962","Brazil"
"69900","Mauro Ramos","1962","Brazil"
"63867","Zito","1962","Brazil"
"63870","Zozimo","1962","Brazil"
"44604","Nilton Santos","1962","Brazil"
"63868","Garrincha","1962","Brazil"
"63855","Didi","1962","Brazil"
"69901","Coutinho","1962","Brazil"
"63869","Pelé","1962","Brazil"
"69902","Pepe","1962","Brazil"
"69903","Jair Marinho","1962","Brazil"
"63862","Bellini","1962","Brazil"
"69904","Jurandir","1962","Brazil"
"63877","Altair","1962","Brazil"
"69905","Zequinha","1962","Brazil"
"69906","Mengalvio","1962","Brazil"
"246272","Jair Da Costa","1962","Brazil"
"63866","Vava","1962","Brazil"
"63873","Amarildo","1962","Brazil"
"61571","Mario Zagallo","1962","Brazil"
"47382","Castilho","1962","Brazil"
"54914","Georgi Naidenov","1962","Bulgaria"
"56623","Kiril Rakarov","1962","Bulgaria"
"48579","Ivan Dimitrov","1962","Bulgaria"
"52425","Stoyan Kitov","1962","Bulgaria"
"52412","Dimitar Kostov","1962","Bulgaria"
"52456","Nikola Kovachev","1962","Bulgaria"
"48560","Todor Diev","1962","Bulgaria"
"69922","Dimitar Dimov","1962","Bulgaria"
"51218","Hristo Iliev","1962","Bulgaria"
"52343","Ivan Kolev","1962","Bulgaria"
"60102","Dimitar Yakimov","1962","Bulgaria"
"51542","Dobromir Zechev","1962","Bulgaria"
"59538","Petar Velichkov","1962","Bulgaria"
"58211","Georgi Sokolov","1962","Bulgaria"
"174357","Georgi Asparukhov","1962","Bulgaria"
